review_id,product_id,customer_id,rating,review_text,review_date
6142,2119,1086,4,"Nice item, good value for money.",2024-12-01
6143,2118,1087,5,Perfect! Exactly what I needed.,2024-07-06
6144,2053,1088,5,Outstanding quality and fast delivery.,2024-09-29
6145,2112,1088,5,Absolutely love it! Highly recommend.,2024-09-22
6146,2074,1088,5,Outstanding quality and fast delivery.,2024-07-20
6147,2001,1089,5,Outstanding quality and fast delivery.,2024-09-06
6148,2093,1090,4,"Great product, minor issues but overall satisfied.",2024-10-30
6149,2001,1091,4,"Solid product, would buy again.",2024-06-01
6150,2098,1091,5,Outstanding quality and fast delivery.,2024-06-22
6151,2054,1091,4,"Great product, minor issues but overall satisfied.",2024-09-28
6152,2081,1092,3,"Decent product, meets basic needs.",2024-10-12
6153,2117,1092,2,"Not great, has some issues.",2024-07-14
6154,2111,1093,2,"Disappointed, expected better quality.",2024-08-17
6155,2036,1094,4,"Solid product, would buy again.",2024-11-26
6156,2061,1095,2,"Disappointed, expected better quality.",2024-10-08
6157,2016,1096,3,"Acceptable, does what it says.",2024-10-11
6158,2020,1096,4,"Very good product, happy with purchase.",2024-10-24
6159,2140,1098,3,"Decent product, meets basic needs.",2024-12-01
6160,2081,1098,5,Best purchase ever! Five stars!,2024-11-16
6161,2036,1098,5,Best purchase ever! Five stars!,2024-12-08
6162,2123,1099,4,"Very good product, happy with purchase.",2024-06-30
6163,2004,1100,4,"Solid product, would buy again.",2024-07-30
6164,2075,1100,5,Absolutely love it! Highly recommend.,2024-07-11
6165,2098,1028,4,"Very good product, happy with purchase.",2024-10-30
6166,2086,1028,5,Excellent product! Exceeded my expectations.,2024-11-19
6167,2021,1029,4,"Great product, minor issues but overall satisfied.",2024-09-26
6168,2027,1030,4,"Solid product, would buy again.",2024-11-01
6169,2058,1030,5,Perfect! Exactly what I needed.,2024-10-06
6170,2102,1037,5,Absolutely love it! Highly recommend.,2024-09-05
6171,2108,1057,2,"Disappointed, expected better quality.",2024-11-01
6172,2122,1058,4,"Great product, minor issues but overall satisfied.",2024-11-29
6173,2126,1059,4,"Solid product, would buy again.",2024-08-10
6174,2110,1060,4,"Very good product, happy with purchase.",2024-08-25
6175,2096,1067,4,"Very good product, happy with purchase.",2024-09-28
6176,2053,1097,1,"Complete disaster, do not buy.",2024-11-07
