product_id,product_name,category,brand,price,stock_quantity,supplier_id
2074,Scarf Cashmere Blend,Fashion,WarmWear,44.99,130,3006
2075,Belt Leather Black,Fashion,LuxLeather,29.99,180,3009
2076,Socks Cotton 12-Pack,Fashion,ComfortFeet,24.99,250,3006
2077,Watch Analog Leather Band,Fashion,TimePiece,149.99,60,3010
2078,Tie Silk Blue,Fashion,DressWell,34.99,140,3009
2079,Gloves Winter Touchscreen,Fashion,ColdGuard,29.99,160,3006
2080,Slippers Memory Foam,Fashion,HomeComfy,34.99,190,3006
2081,Toaster 4-Slice,Home,BrewMaster,59.99,105,3013
2082,Microwave 1.1 Cu Ft,Home,KitchenPro,149.99,50,3014
2083,Iron Steam Professional,Home,CleanPress,69.99,95,3013
2084,Curtains Blackout 84-inch,Home,WindowStyle,49.99,120,3017
2085,Bedding Set Queen,Home,SleepWell,89.99,70,3017
2086,Towel Set 6-Piece,Home,BathLux,39.99,150,3017
2087,Picture Frames Set of 5,Home,MemoryWall,34.99,170,3017
2088,Wall Clock Modern,Home,TimeCraft,29.99,140,3018
2089,Candles Scented Set of 3,Home,AromaHome,24.99,200,3018
2090,Dish Rack Stainless Steel,Home,KitchenOrganize,39.99,130,3014
2091,Jump Rope Adjustable,Sports,FlexFit,14.99,220,3007
2092,Foam Roller Massage,Sports,RecoverPro,29.99,160,3007
2093,Water Bottle Insulated 32oz,Sports,HydroMax,24.99,240,3019
2094,Gym Bag Duffel Large,Sports,ActiveCarry,44.99,110,3019
2095,Protein Shaker Bottle,Sports,NutriFit,12.99,280,3019
2096,Fitness Tracker Watch,Sports,HealthMonitor,89.99,95,3019
2097,Soccer Ball Official Size,Sports,ProSport,34.99,130,3008
2098,Golf Club Set Beginner,Sports,SwingPro,299.99,30,3020
2099,Fishing Rod Telescopic,Sports,CatchMaster,79.99,70,3020
2100,Skateboard Complete,Sports,RideStreet,69.99,85,3008
2101,Serum Vitamin C,Beauty,GlowSkin,39.99,160,3021
2102,Conditioner Repair 16oz,Beauty,NaturalHair,18.99,230,3021
2103,Eyeliner Waterproof,Beauty,EyeDefine,16.99,190,3021
2104,Foundation Liquid SPF 15,Beauty,FaceFlawless,42.99,120,3021
2105,Bath Bombs Set of 12,Beauty,RelaxSpa,29.99,170,3021
2106,Razor Electric Men,Beauty,ShaveSmooth,89.99,80,3021
2107,Hand Cream Set 6-Pack,Beauty,SoftHands,24.99,200,3021
2108,Massage Oil Lavender 8oz,Beauty,RelaxTherapy,19.99,150,3021
2109,Hair Straightener Ceramic,Beauty,SalonPro,69.99,90,3021
2110,Sunscreen SPF 50 8oz,Beauty,SunGuard,22.99,210,3021
2111,Science Fiction Anthology,Books,GalaxyReads,19.99,130,3022
2112,History Book World War,Books,PastPages,26.99,95,3022
2113,Comic Book Collection,Books,HeroPress,34.99,110,3022
2114,Art Book Photography,Books,VisionArt,44.99,70,3022
2115,Dictionary English Deluxe,Books,WordWise,39.99,80,3022
2116,Atlas World Maps,Books,GeoBooks,29.99,90,3022
2117,Graphic Novel Fantasy,Books,DrawnTales,24.99,120,3022
2118,Memoir Celebrity,Books,StarStories,21.99,100,3022
2119,Philosophy Classic Works,Books,ThinkDeep,27.99,85,3022
2120,Language Learning Spanish,Books,LinguaLearn,32.99,105,3022
2121,Smart Doorbell Camera,Electronics,HomeSafe,159.99,65,3003
2122,Keyboard Wireless Compact,Electronics,TechPro,49.99,170,3001
2123,Earbuds True Wireless,Electronics,SoundWave,79.99,130,3003
2124,Drone With Camera 4K,Electronics,SkyView,499.99,20,3003
2125,Printer Wireless All-in-One,Electronics,PrintPro,199.99,45,3004
2126,Graphics Tablet Drawing,Electronics,ArtDigital,149.99,55,3001
2127,Smart Thermostat WiFi,Electronics,ClimateControl,179.99,50,3018
2128,Security Camera Outdoor,Electronics,HomeSafe,129.99,70,3003
2129,Cable HDMI 10ft,Electronics,ConnectPlus,14.99,350,3002
2130,Flash Drive 128GB,Electronics,DataStore,24.99,280,3004
2131,Dress Casual Women,Fashion,StyleMax,59.99,105,3006
2132,Polo Shirt Men Cotton,Fashion,ClassicWear,39.99,160,3006
2133,Shorts Athletic Men,Fashion,SportLife,34.99,180,3008
2134,Boots Ankle Women,Fashion,FootFashion,89.99,75,3009
2135,Hoodie Fleece Unisex,Fashion,ComfortWear,49.99,140,3006
2136,Leggings High Waist,Fashion,ActiveFit,39.99,190,3007
2137,Cardigan Sweater Women,Fashion,KnitStyle,54.99,100,3006
2138,Pajama Set Cotton,Fashion,SleepComfy,44.99,130,3006
2139,Swimsuit One-Piece,Fashion,BeachWave,49.99,110,3010
2140,Robe Bathrobe Plush,Fashion,HomeComfy,59.99,95,3006
2141,Slow Cooker 6-Quart,Home,KitchenPro,69.99,85,3014
2142,Food Processor 12-Cup,Home,ChefMaster,119.99,60,3014
2143,Electric Kettle 1.7L,Home,BrewMaster,39.99,140,3013
2144,Cutting Board Bamboo Large,Home,KitchenEssentials,24.99,190,3014
2145,Spice Rack With Spices,Home,FlavorOrganize,34.99,120,3014
2146,Shower Curtain Waterproof,Home,BathStyle,19.99,210,3017
2147,Bath Mat Memory Foam,Home,BathLux,24.99,180,3017
2148,Laundry Basket Collapsible,Home,OrganizePro,29.99,150,3017
2149,Coat Rack Stand,Home,EntryWay,44.99,100,3017
2150,Mirror Wall Mounted Large,Home,ReflectStyle,79.99,65,3017
